id,type,name,status,description,startTime,duration,epic
1,TASK,Test titleTask,NEW,Test description,14:42 14.02.24,14:56 14.02.24
2,TASK,Test titleTask,NEW,Test description,14:42 14.12.24,14:53 14.12.24
6,TASK,Test titleTask,NEW,Test description,14:42 14.02.24,14:56 14.02.24
7,TASK,Test titleTask,NEW,Test description,14:42 14.12.24,14:53 14.12.24
3,EPIC,Епик,IN_PROGRESS,описание,10:17 04.12.24,16:52 25.08.24
8,EPIC,Епик,IN_PROGRESS,описание,10:17 04.12.24,16:52 25.08.24
4,SUBTASK,Test titleSub1,IN_PROGRESS,Test in Epic,10:17 04.12.24,10:41 04.12.24,3
5,SUBTASK,Test titleSub2,NEW,Test in Epic,16:40 25.08.24,16:52 25.08.24,3
9,SUBTASK,Test titleSub1,IN_PROGRESS,Test in Epic,10:17 04.12.24,10:41 04.12.24,8
10,SUBTASK,Test titleSub2,NEW,Test in Epic,16:40 25.08.24,16:52 25.08.24,8
